speaker_id,language,recording_id,role,gender,birth_year,birth_place,notes
B,Uzbek,uz_01,speaker,M,1998,Namangan,participant in dialogue
U,Uzbek,uz_01,speaker,M,1997,Andijan,participant in dialogue
AY,Kazakh,kz_01,speaker,F,2002,Taldykorgan,participant in dialogue
AJ,Kazakh,kz_01,speaker,F,2001,Almaty,participant in dialogue
E,Turkmen,tm_01,speaker,M,1991,Mary,participant in dialogue
G,Turkmen,tm_01,speaker,F,1996,Ashgabat,participant in dialogue
O,Kyrgyz,kr_01,speaker,F,2002,Jalal-Abad ,participant in dialogue
A,Kyrgyz,kr_01,speaker,M,1984,Issyk-Kul,participant in dialogue
Ak,Uyghur,uy_01,speaker,F,1998,Urumqi,participant in dialogue
K,Uyghur,uy_01,speaker,F,2001,Urumqi,participant in dialogue
